x y type
-9 8.65 A
5.46 8.6 B
64.1 7.67 C
22.08 3.34 D
56.95 7.53 A
101.94 10.47 B
65.44 6.59 C
34.99 11.93 D
32.52 8.21 A
32.47 10.55 B
37.22 6.45 C
37.63 5.21 D
59.34 5.27 A
-9 10.27 B
129.23 17.08 C
63.37 4.91 D
59.69 12.56 A
74.23 19.61 B
133.99 12.75 C
92.34 4.51 D
57.71 8.39 A
79.56 5.76 B
33.51 12.34 C
20.32 1.77 D
60.26 16.09 A
96.27 5.91 B
3.54 20.86 C
48.9 17 D
87.21 2.78 A
35.6 7.48 B
127.87 9.52 C
64.39 11.37 D
63.35 14.76 A
37.61 4.97 B
29.05 11.87 C
31.72 18.41 D
64.18 4.22 A
77.51 13.31 B
82.38 4.72 C
90.1 11.34 D
76.62 9.98 A
33.12 8.46 B
-9 8.55 C
129.7 9.66 D
41.71 3.71 A
40 14.2 B
51.06 14.28 C
48.65 10.26 D
73.39 12.86 A
49.9 7.08 B
81.31 9.59 C
71.59 18.4 D
56.72 8.3 A
-9 15.88 B
-9 17.49 C
134.53 11.21 D
29.39 8.51 A
57.72 14.49 B
115.44 21.01 C
77.94 6.35 D
22.97 7.09 A
13.82 8.22 B
58.39 9.53 C
72.5 15.51 D
29.96 18.8 A
4.78 7.66 B
36.79 21.85 C
96.84 4.81 D
6.1 11.61 A
40.36 11.29 B
14.76 5.52 C
19.29 8.04 D
75.68 11.29 A
77.63 5.33 B
91.58 1.56 C
69.64 7.87 D
84.58 13.15 A
-9 8.72 B
61.47 7.61 C
81.22 9.32 D
45.88 0 A
11.01 6.45 B
7.95 7.77 C
30.92 10.46 D
-9 6.75 A
40.97 5.06 B
19.33 5.89 C
67.61 8.37 D
64.73 5.44 A
10.4 10.6 B
54.54 9.62 C
79.16 11.35 D
39.33 9.27 A
44.25 8.13 B
53.26 12.3 C
65.09 13.47 D
2.55 6.96 A
18.64 5.98 B
53.36 5.05 C
55.53 0.83 D
